========================================
稀疏矩阵切片算法系统性仿真测试
========================================
四种算法：Probe, Intersection, Skip, Hybrid
四个参数：mask_density, nnz_density, block_coverage, threshold
========================================

================================================================================
阶段一：mask_density × nnz_density 交叉测试（均匀分布）
================================================================================
     Mask%      NNZ%    Blocks      Probe  Intersect       Skip     Hybrid       Best
-------------------------------------------------------------------------------------
     0.100     0.100      9362      0.009      0.109      0.219      0.280      Probe
     0.100     0.500      9362      0.044      0.416      0.815      0.678      Probe
     0.100     1.000      9362      0.066      0.953      1.197      1.158      Probe
     0.100     5.000      9362      0.187      1.197      1.981      1.382      Probe
     0.100    10.000      9362      0.350      1.313      2.258      1.620      Probe
     0.100    20.000      9362      0.738      2.021      2.743      2.193      Probe
     0.100    50.000      9362      1.769      2.369      3.519      2.397      Probe
     0.100    80.000      9362      2.826      3.722      5.846      3.629      Probe
     0.100    99.000      9362      3.758      4.752      8.022      5.051      Probe
     0.500     0.100     36146      0.005      0.224      0.215      1.842      Probe
     0.500     0.500     36146      0.032      0.774      1.122      2.480      Probe
     0.500     1.000     36146      0.110      1.198      1.947      2.911      Probe
     0.500     5.000     36146      0.210      3.501      5.927      4.557      Probe
     0.500    10.000     36146      0.446      4.001      7.183      4.468      Probe
     0.500    20.000     36146      0.972      5.418      8.772      5.629      Probe
     0.500    50.000     36146      2.123      8.107     14.308      9.126      Probe
     0.500    80.000     36146      3.729      9.345     17.986     11.125      Probe
     0.500    99.000     36146      4.973     10.565     18.027     10.378      Probe
     1.000     0.100     52462      0.009      0.385      0.443      3.875      Probe
     1.000     0.500     52462      0.033      0.810      0.949      4.289      Probe
     1.000     1.000     52462      0.069      1.321      1.827      4.528      Probe
     1.000     5.000     52462      0.207      4.018      6.726      6.318      Probe
     1.000    10.000     52462      0.382      6.692      9.376      7.169      Probe
     1.000    20.000     52462      0.815      7.759     12.321      8.798      Probe
     1.000    50.000     52462      2.246     10.756     18.129     14.196      Probe
     1.000    80.000     52462      3.699     13.127     23.366     18.076      Probe
     1.000    99.000     52462      4.493     14.137     29.162     18.963      Probe
     5.000     0.100     18626      0.005      0.535      0.180      3.616      Probe
     5.000     0.500     18626      0.044      1.535      0.843      4.640      Probe
     5.000     1.000     18626      0.079      2.278      1.489      5.634      Probe
     5.000     5.000     18626      0.481      6.913      4.566     10.567      Probe
     5.000    10.000     18626      0.667     10.813      6.573     14.100      Probe
     5.000    20.000     18626      1.651     17.452      9.237     22.078      Probe
     5.000    50.000     18626      3.977     36.513     17.217     45.527      Probe
     5.000    80.000     18626      7.424     44.534     29.127     46.915      Probe
     5.000    99.000     18626      9.426     44.670     31.542     49.677      Probe
    10.000     0.100      1154      0.006      0.681      0.101      1.283      Probe
    10.000     0.500      1154      0.046      2.257      0.400      3.132      Probe
    10.000     1.000      1154      0.113      3.380      0.521      3.800      Probe
    10.000     5.000      1154      0.509      9.154      1.100     10.215      Probe
    10.000    10.000      1154      1.160     15.572      1.970     17.837      Probe
    10.000    20.000      1154      2.523     24.828      5.108     25.758      Probe
    10.000    50.000      1154      6.096     48.160     12.544     55.073      Probe
    10.000    80.000      1154     12.247     60.495     15.041     66.024      Probe
    10.000    99.000      1154     13.846     66.314     21.693     72.365      Probe
    20.000     0.100         1      0.007      0.803      0.007      0.790       Skip
    20.000     0.500         1      0.070      2.947      0.107      3.136      Probe
    20.000     1.000         1      0.173      4.486      0.174      4.573      Probe
    20.000     5.000         1      0.989     12.222      0.775     11.758       Skip
    20.000    10.000         1      1.995     19.839      1.549     19.529       Skip
    20.000    20.000         1      3.189     28.995      3.387     31.162      Probe
    20.000    50.000         1      9.905     55.474     10.921     60.450      Probe
    20.000    80.000         1     20.866     73.849     16.527     83.350       Skip
    20.000    99.000         1     24.896     86.485     21.139     95.244       Skip
    50.000     0.100         0      0.021      1.421      0.014      1.194       Skip
